Device_id,Model ID,Task ID,Stream ID,Op Name,OP Type,OP State,Task Type,Task Start Time(us),Task Duration(us),Task Wait Time(us),Block Dim,Mix Block Dim,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
0,4294967295,20,47,aclnnMul_MulAiCore_Mul,Mul,dynamic,AI_VECTOR_CORE,1785336663213884.760	,325.940,0.000000,40,0,NO,"""4096,4096;4096,4096""",FLOAT;FLOAT,ND;ND,"""4096,4096""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322.695,21297840,6.784,0.021,3.01,0.009,321.005,0.995,109.385,0.339,0.0,0.000
0,4294967295,21,47,Concat,Concat,dynamic,AI_VECTOR_CORE,1785336663214210.740	,5.540,0.060000,6,0,NO,"""2,40000;1,40000""",FLOAT16;FLOAT16,ND;ND,"""3,40000""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.015,39747,0.017,0.004,2.764,0.688,1.057,0.263,0.388,0.097,0.0,0.000
0,4294967295,22,47,aclnnMul_MulAiCore_Mul,Mul,dynamic,AI_VECTOR_CORE,1785336663214216.300	,327.460,0.000000,40,0,NO,"""4096,4096;4096,4096""",FLOAT;FLOAT,ND;ND,"""4096,4096""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.942,21380152,6.784,0.021,3.086,0.01,322.237,0.995,110.852,0.342,0.0,0.000
0,4294967295,23,47,Concat,Concat,dynamic,AI_VECTOR_CORE,1785336663214543.780	,4.820,0.040000,6,0,NO,"""2,40000;1,40000""",FLOAT16;FLOAT16,ND;ND,"""3,40000""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.828,37894,0.017,0.004,2.783,0.727,0.882,0.23,0.362,0.095,0.0,0.000
0,4294967295,24,47,aclnnMul_MulAiCore_Mul,Mul,dynamic,AI_VECTOR_CORE,1785336663214548.640	,327.040,0.180000,40,0,NO,"""4096,4096;4096,4096""",FLOAT;FLOAT,ND;ND,"""4096,4096""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.609,21358189,6.784,0.021,2.982,0.009,321.993,0.995,109.969,0.34,0.0,0.000
0,4294967295,25,47,Concat,Concat,dynamic,AI_VECTOR_CORE,1785336663214875.700	,4.840,0.000000,6,0,NO,"""2,40000;1,40000""",FLOAT16;FLOAT16,ND;ND,"""3,40000""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.867,38285,0.017,0.004,2.772,0.717,0.913,0.236,0.385,0.1,0.0,0.000
0,4294967295,26,47,aclnnMul_MulAiCore_Mul,Mul,dynamic,AI_VECTOR_CORE,1785336663214880.560	,327.460,0.000000,40,0,NO,"""4096,4096;4096,4096""",FLOAT;FLOAT,ND;ND,"""4096,4096""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324.957,21447193,6.784,0.021,3.081,0.009,323.25,0.995,111.478,0.343,0.0,0.000
0,4294967295,27,47,Concat,Concat,dynamic,AI_VECTOR_CORE,1785336663215208.040	,4.860,0.040000,6,0,NO,"""2,40000;1,40000""",FLOAT16;FLOAT16,ND;ND,"""3,40000""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.797,37591,0.017,0.004,2.774,0.731,0.909,0.239,0.312,0.082,0.0,0.000
0,4294967295,28,47,aclnnMul_MulAiCore_Mul,Mul,dynamic,AI_VECTOR_CORE,1785336663215212.940	,326.300,0.140000,40,0,NO,"""4096,4096;4096,4096""",FLOAT;FLOAT,ND;ND,"""4096,4096""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322.885,21310382,6.784,0.021,2.883,0.009,321.401,0.995,110.382,0.342,0.0,0.000
0,4294967295,29,47,Concat,Concat,dynamic,AI_VECTOR_CORE,1785336663215539.260	,4.780,0.000000,6,0,NO,"""2,40000;1,40000""",FLOAT16;FLOAT16,ND;ND,"""3,40000""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.772,37338,0.017,0.004,2.739,0.726,0.85,0.225,0.381,0.101,0.0,0.000
